name,score,loc,scale,arg,params,model,bootstrap_score,bootstrap_pass,color
beta,0.0002358071908554399,-119.77659993335692,66671017.66657521,"(194.85219253010854, 78180807.87748191)","(194.85219253010854, 78180807.87748191, -119.77659993335692, 66671017.66657521)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7b93ecfdbaa0>,0,,#e41a1c
genextreme,0.0002467854202022113,42.09501606631318,11.833379213330684,"(0.26278258965676193,)","(0.26278258965676193, 42.09501606631318, 11.833379213330684)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7b93ec1b2b70>,0,,#377eb8
gamma,0.00024888642803673846,-264.5113905103012,0.4536242471515677,"(685.3126407914478,)","(685.3126407914478, -264.5113905103012, 0.4536242471515677)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7b93ec1d6720>,0,,#4daf4a
lognorm,0.000249475761446433,-434.91899587219046,481.13924503111446,"(0.024661745483830856,)","(0.024661745483830856, -434.91899587219046, 481.13924503111446)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7b93ec1b1310>,0,,#984ea3
norm,0.00026649140264575966,46.36659254991964,11.872323975692176,(),"(46.36659254991964, 11.872323975692176)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7b93ec2047a0>,0,,#ff7f00
t,0.00027127544722893544,46.24414272979817,11.06066318111398,"(14.85494479409514,)","(14.85494479409514, 46.24414272979817, 11.06066318111398)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7b93e5ec4a70>,0,,#ffff33
loggamma,0.0002733387328934445,-3003.057222290274,426.50723903444805,"(1274.2408705471044,)","(1274.2408705471044, -3003.057222290274, 426.50723903444805)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7b941d958b60>,0,,#a65628
uniform,0.0014695871275310557,12.771084337349398,61.24466369414666,(),"(12.771084337349398, 61.24466369414666)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7b93ec1ee1e0>,0,,#a65628
expon,0.002566555695116215,12.771084337349398,33.59550821257024,(),"(12.771084337349398, 33.59550821257024)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7b93eef10f50>,0,,#999999
pareto,0.0025665557106469834,-2147483635.2289157,2147483648.0,"(63921749.663663,)","(63921749.663663, -2147483635.2289157, 2147483648.0)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7b93f8de66f0>,0,,#999999
