name,score,loc,scale,arg,params,model,bootstrap_score,bootstrap_pass,color
loggamma,0.0013490077423762277,87.85215620156396,6.9386944178631405,"(np.float64(0.7679562053319855),)","(np.float64(0.7679562053319855), np.float64(87.85215620156396), np.float64(6.9386944178631405))",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7a14547f9a00>,0.0,,#e41a1c
beta,0.0016134392031716368,-1949321.3514766013,1949423.5492942464,"(np.float64(352016.30331120116), np.float64(3.9054459730412))","(np.float64(352016.30331120116), np.float64(3.9054459730412), np.float64(-1949321.3514766013), np.float64(1949423.5492942464))",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7a145481ee10>,0.0,,#377eb8
genextreme,0.0021476356666548374,78.27039294110622,12.771000958456504,"(np.float64(0.5896649618768565),)","(np.float64(0.5896649618768565), np.float64(78.27039294110622), np.float64(12.771000958456504))",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7a1496293ad0>,0.0,,#4daf4a
t,0.0022868724996757805,79.66144612957797,10.938797102672353,"(np.float64(8.066842239794234),)","(np.float64(8.066842239794234), np.float64(79.66144612957797), np.float64(10.938797102672353))",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7a14970c8d10>,0.0,,#984ea3
norm,0.0023502634801563977,80.6285954459881,12.144602353985217,(),"(np.float64(80.6285954459881), np.float64(12.144602353985217))",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7a145481d670>,0.0,,#ff7f00
lognorm,0.002350297513723144,-2097131.767600817,2097212.3961610985,"(np.float64(5.790869984523905e-06),)","(np.float64(5.790869984523905e-06), -2097131.767600817, np.float64(2097212.3961610985))",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7a1453a41a90>,0.0,,#ffff33
gamma,0.0026974014379671026,-155.59186825650863,0.7097587772688221,"(np.float64(332.2898176035603),)","(np.float64(332.2898176035603), np.float64(-155.59186825650863), np.float64(0.7097587772688221))",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7a1454765be0>,0.0,,#a65628
uniform,0.006160417294063273,20.2323991797676,79.22174929184813,(),"(20.2323991797676, 79.22174929184813)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7a1454817a70>,0.0,,#a65628
expon,0.007835510536543942,20.2323991797676,60.3961962662205,(),"(20.2323991797676, 60.3961962662205)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7a145481ee70>,0.0,,#999999
pareto,0.007835510554451782,-4294967275.767601,4294967296.0,"(np.float64(71113208.79419379),)","(np.float64(71113208.79419379), np.float64(-4294967275.767601), 4294967296.0)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7a145481ec30>,0.0,,#999999
