name,score,loc,scale,arg,params,model,bootstrap_score,bootstrap_pass,color
lognorm,6.935178531559243e-05,-24.965708311515325,69.86131618111693,"(np.float64(0.1733084828812397),)","(np.float64(0.1733084828812397), -24.965708311515325, np.float64(69.86131618111693))",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7a1453b1cd10>,0.0,,#e41a1c
gamma,6.995132594740379e-05,-2.7605855628137714,3.1421690830125915,"(np.float64(15.502827561312),)","(np.float64(15.502827561312), np.float64(-2.7605855628137714), np.float64(3.1421690830125915))",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7a145481dbb0>,0.0,,#377eb8
beta,7.096972187972645e-05,3.725658433562753,280.3143932841872,"(np.float64(9.772220690992185), np.float64(55.09928464387868))","(np.float64(9.772220690992185), np.float64(55.09928464387868), np.float64(3.725658433562753), np.float64(280.3143932841872))",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7a1453b1cf80>,0.0,,#4daf4a
genextreme,7.143581010732265e-05,40.89129656283237,11.199850946475237,"(np.float64(0.144454206352002),)","(np.float64(0.144454206352002), np.float64(40.89129656283237), np.float64(11.199850946475237))",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7a14547646b0>,0.0,,#984ea3
t,9.55219208762099e-05,45.951019641245395,12.357729221801593,"(np.float64(6532.54829249236),)","(np.float64(6532.54829249236), np.float64(45.951019641245395), np.float64(12.357729221801593))",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7a14547f9910>,0.0,,#ff7f00
norm,9.557231286339608e-05,45.95191838080942,12.359734414054552,(),"(np.float64(45.95191838080942), np.float64(12.359734414054552))",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7a145482cb60>,0.0,,#ffff33
loggamma,9.68670801651959e-05,-3409.7594285011965,475.0812707460509,"(np.float64(1442.2941646417112),)","(np.float64(1442.2941646417112), np.float64(-3409.7594285011965), np.float64(475.0812707460509))",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7a145459e4e0>,0.0,,#a65628
uniform,0.0012229818705432527,18.815789473684205,63.14740071036488,(),"(18.815789473684205, 63.14740071036488)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7a145481e5d0>,0.0,,#a65628
expon,0.0019196816396218257,18.815789473684205,27.13612890712521,(),"(18.815789473684205, 27.13612890712521)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7a1453a55370>,0.0,,#999999
pareto,0.001919681648577898,-2147483629.1842105,2147483648.0,"(np.float64(79137435.92858908),)","(np.float64(79137435.92858908), np.float64(-2147483629.1842105), 2147483648.0)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7a1453abde20>,0.0,,#999999
