name,score,loc,scale,arg,params,model,bootstrap_score,bootstrap_pass,color
beta,0.00011969907548060155,-32.90308718400251,132.75947796166133,"(np.float64(9.328398794134355), np.float64(3.6820459306369346))","(np.float64(9.328398794134355), np.float64(3.6820459306369346), np.float64(-32.90308718400251), np.float64(132.75947796166133))",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7a14545c71a0>,0.0,,#e41a1c
loggamma,0.00015451860667477376,51.02868881459696,21.320999714377848,"(np.float64(2.1727810453122487),)","(np.float64(2.1727810453122487), np.float64(51.02868881459696), np.float64(21.320999714377848))",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7a145462dfd0>,0.0,,#377eb8
norm,0.00016154557766462612,62.298519387029714,16.057167587970092,(),"(np.float64(62.298519387029714), np.float64(16.057167587970092))",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7a14546591f0>,0.0,,#4daf4a
lognorm,0.00016154710986954356,-2008747.4015601452,2008809.7000153563,"(np.float64(7.993390407709033e-06),)","(np.float64(7.993390407709033e-06), -2008747.4015601452, np.float64(2008809.7000153563))",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7a1453a428d0>,0.0,,#984ea3
t,0.00016155111231247915,62.29903777932361,16.05613844991116,"(np.float64(14670.135489770506),)","(np.float64(14670.135489770506), np.float64(62.29903777932361), np.float64(16.05613844991116))",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7a1453b1f710>,0.0,,#ff7f00
gamma,0.00017134022895186584,-187.4730738978908,1.086009201715795,"(np.float64(229.9299081550255),)","(np.float64(229.9299081550255), np.float64(-187.4730738978908), np.float64(1.086009201715795))",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7a145465b500>,0.0,,#ffff33
uniform,0.0006298133773353256,20.8778840742825,74.5816951062269,(),"(20.8778840742825, 74.5816951062269)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7a145468bd70>,0.0,,#a65628
expon,0.0013424153880902611,20.8778840742825,41.420635312747216,(),"(20.8778840742825, 41.420635312747216)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7a145462de80>,0.0,,#a65628
pareto,0.0013424153962858655,-6442450923.122113,6442450943.999997,"(np.float64(155537231.73895872),)","(np.float64(155537231.73895872), np.float64(-6442450923.122113), 6442450943.999997)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7a14546880b0>,0.0,,#999999
genextreme,0.00202926207863129,95.3447034827816,0.6671415801390586,"(np.float64(5.807508405474913),)","(np.float64(5.807508405474913), np.float64(95.3447034827816), np.float64(0.6671415801390586))",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7a1453b33c50>,0.0,,#999999
