name,score,loc,scale,arg,params,model,bootstrap_score,bootstrap_pass,color
beta,0.00022410810824878227,4.395751441926352,22401.22649287038,"(np.float64(8.33759671394581), np.float64(4440.27729337555))","(np.float64(8.33759671394581), np.float64(4440.27729337555), np.float64(4.395751441926352), np.float64(22401.22649287038))",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7a145454a390>,0.0,,#e41a1c
gamma,0.00022418035429842194,4.473482699405377,5.038061370198502,"(np.float64(8.319439663765735),)","(np.float64(8.319439663765735), np.float64(4.473482699405377), np.float64(5.038061370198502))",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7a1454548920>,0.0,,#377eb8
lognorm,0.0002265926346629493,-11.432124940418932,56.06031792540245,"(np.float64(0.24866660279862893),)","(np.float64(0.24866660279862893), -11.432124940418932, np.float64(56.06031792540245))",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7a1454549820>,0.0,,#4daf4a
genextreme,0.0002292108777824276,40.12038795406232,12.430513475621455,"(np.float64(0.08172253795692883),)","(np.float64(0.08172253795692883), np.float64(40.12038795406232), np.float64(12.430513475621455))",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7a14972cb320>,0.0,,#984ea3
t,0.000250641354423883,45.685110124935555,13.301573761035211,"(np.float64(11.700906101560623),)","(np.float64(11.700906101560623), np.float64(45.685110124935555), np.float64(13.301573761035211))",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7a1454549a00>,0.0,,#ff7f00
norm,0.00028233227594953784,46.387312508281326,14.564751644495034,(),"(np.float64(46.387312508281326), np.float64(14.564751644495034))",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7a1454548140>,0.0,,#ffff33
loggamma,0.0002943062992083832,-2858.8140897308867,430.683234945958,"(np.float64(850.9808431438748),)","(np.float64(850.9808431438748), np.float64(-2858.8140897308867), np.float64(430.683234945958))",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7a1454549160>,0.0,,#a65628
uniform,0.0011157747319215578,17.019400352733687,73.3031802924276,(),"(17.019400352733687, 73.3031802924276)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7a145454aae0>,0.0,,#a65628
pareto,0.001463984878933374,-4294967278.9806,4294967296.0,"(np.float64(146246939.92949203),)","(np.float64(146246939.92949203), np.float64(-4294967278.9806), 4294967296.0)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7a1454549040>,0.0,,#999999
expon,0.001463984889436214,17.019400352733687,29.36791215554764,(),"(17.019400352733687, 29.36791215554764)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7a14545487a0>,0.0,,#999999
