name,score,loc,scale,arg,params,model,bootstrap_score,bootstrap_pass,color
loggamma,0.00018854128556803596,77.51336849881068,10.422807393812121,"(np.float64(0.7222702284471869),)","(np.float64(0.7222702284471869), np.float64(77.51336849881068), np.float64(10.422807393812121))",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7a14544ba150>,0.0,,#e41a1c
beta,0.00023064779812224652,-89.89414191929114,187.9262344448784,"(np.float64(15.334518396174198), np.float64(3.219134337281869))","(np.float64(15.334518396174198), np.float64(3.219134337281869), np.float64(-89.89414191929114), np.float64(187.9262344448784))",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7a145454acc0>,0.0,,#377eb8
genextreme,0.00026849652757113783,61.47446319708449,17.49424365837647,"(np.float64(0.5061501763380234),)","(np.float64(0.5061501763380234), np.float64(61.47446319708449), np.float64(17.49424365837647))",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7a145482cd10>,0.0,,#4daf4a
norm,0.00044967869293750757,65.43897280079845,16.2724551239383,(),"(np.float64(65.43897280079845), np.float64(16.2724551239383))",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7a145449f6e0>,0.0,,#984ea3
lognorm,0.0004496812273463536,-4194285.779661015,4194351.21860225,"(np.float64(3.879617194000371e-06),)","(np.float64(3.879617194000371e-06), -4194285.779661015, np.float64(4194351.21860225))",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7a1454507080>,0.0,,#ff7f00
t,0.0004496864331098302,65.43881425342173,16.272339439078642,"(np.float64(7889004.853418456),)","(np.float64(7889004.853418456), np.float64(65.43881425342173), np.float64(16.272339439078642))",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7a145449ee10>,0.0,,#ffff33
gamma,0.000478765048841737,-210.5499453210722,0.9947667913597429,"(np.float64(277.3235122733886),)","(np.float64(277.3235122733886), np.float64(-210.5499453210722), np.float64(0.9947667913597429))",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7a1454767bc0>,0.0,,#a65628
uniform,0.000858433633863514,18.220338983050848,76.44493298347635,(),"(18.220338983050848, 76.44493298347635)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7a1454581670>,0.0,,#a65628
pareto,0.0015581513097354372,-8589934573.779661,8589934592.0,"(np.float64(181918321.29422846),)","(np.float64(181918321.29422846), np.float64(-8589934573.779661), 8589934592.0)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7a14545277d0>,0.0,,#999999
expon,0.0015581513315088926,18.220338983050848,47.2186338177476,(),"(18.220338983050848, 47.2186338177476)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7a1453b305f0>,0.0,,#999999
