name,score,loc,scale,arg,params,model,bootstrap_score,bootstrap_pass,color
t,3.070792890405766e-05,33.14480513010134,10.772955734246342,"(np.float64(56.28401472365887),)","(np.float64(56.28401472365887), np.float64(33.14480513010134), np.float64(10.772955734246342))",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7a1454548fb0>,0.0,,#e41a1c
lognorm,3.288528262133193e-05,-922.8293743452276,955.9755641228329,"(np.float64(0.011321358076706818),)","(np.float64(0.011321358076706818), -922.8293743452276, np.float64(955.9755641228329))",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7a14545274a0>,0.0,,#377eb8
gamma,3.288688267455808e-05,-564.4004844121,0.1960518824557076,"(np.float64(3048.211104653874),)","(np.float64(3048.211104653874), np.float64(-564.4004844121), np.float64(0.1960518824557076))",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7a1454507080>,0.0,,#4daf4a
beta,3.295918401256637e-05,-386.06414344600637,2889146.328062377,"(np.float64(1498.4174264156686), np.float64(10323946.196604226))","(np.float64(1498.4174264156686), np.float64(10323946.196604226), np.float64(-386.06414344600637), np.float64(2889146.328062377))",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7a14545c4d10>,0.0,,#984ea3
norm,3.337157217013266e-05,33.20745722242027,10.824100408404522,(),"(np.float64(33.20745722242027), np.float64(10.824100408404522))",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7a1454548980>,0.0,,#ff7f00
loggamma,3.5094521253738096e-05,-2128.8958330370715,319.77081165498305,"(np.float64(864.3305056766258),)","(np.float64(864.3305056766258), np.float64(-2128.8958330370715), np.float64(319.77081165498305))",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7a145455f470>,0.0,,#ffff33
genextreme,5.641989840085891e-05,29.197072563188183,10.786735070546708,"(np.float64(0.24543199450770864),)","(np.float64(0.24543199450770864), np.float64(29.197072563188183), np.float64(10.786735070546708))",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7a1454505f70>,0.0,,#a65628
uniform,0.001569522770700023,5.64334085778782,58.51328564823628,(),"(5.64334085778782, 58.51328564823628)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7a1454525c10>,0.0,,#a65628
expon,0.0025932359410803713,5.64334085778782,27.564116364632447,(),"(5.64334085778782, 27.564116364632447)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7a145449cdd0>,0.0,,#999999
pareto,0.0025932359506765615,-2147483642.3566592,2147483648.0,"(np.float64(77908670.5105431),)","(np.float64(77908670.5105431), np.float64(-2147483642.3566592), 2147483648.0)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7a14545c6c30>,0.0,,#999999
