name,score,loc,scale,arg,params,model,bootstrap_score,bootstrap_pass,color
genextreme,0.0006337926021078768,88.9742719552166,7.362809400207981,"(np.float64(0.6393335667073268),)","(np.float64(0.6393335667073268), np.float64(88.9742719552166), np.float64(7.362809400207981))",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7a145449c4d0>,0.0,,#e41a1c
beta,0.0007316349767075361,64.08546236531876,36.08646146644092,"(np.float64(3.353869828220718), np.float64(1.290448023721344))","(np.float64(3.353869828220718), np.float64(1.290448023721344), np.float64(64.08546236531876), np.float64(36.08646146644092))",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7a14543ff950>,0.0,,#377eb8
loggamma,0.0009317414645011843,95.47604313824652,3.9512124322400366,"(np.float64(0.6545797352614464),)","(np.float64(0.6545797352614464), np.float64(95.47604313824652), np.float64(3.9512124322400366))",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7a145444a720>,0.0,,#4daf4a
norm,0.0015598528476757352,90.11893022038647,6.651352522660514,(),"(np.float64(90.11893022038647), np.float64(6.651352522660514))",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7a14543ff7a0>,0.0,,#984ea3
lognorm,0.001559866573645562,-2047248.8900194895,2047339.0089389056,"(np.float64(3.2487834218549527e-06),)","(np.float64(3.2487834218549527e-06), -2047248.8900194895, np.float64(2047339.0089389056))",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7a145449caa0>,0.0,,#ff7f00
t,0.001559885325988206,90.11889084149806,6.651258125944018,"(np.float64(91681.92071308859),)","(np.float64(91681.92071308859), np.float64(90.11889084149806), np.float64(6.651258125944018))",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7a1454448920>,0.0,,#ffff33
gamma,0.0017653587333945674,-31.461818084861164,0.3824827762467493,"(np.float64(317.7021957981739),)","(np.float64(317.7021957981739), np.float64(-31.461818084861164), np.float64(0.3824827762467493))",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7a14545367b0>,0.0,,#a65628
uniform,0.004830262099115796,69.09574468085107,30.90425531914893,(),"(69.09574468085107, 30.90425531914893)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7a14544558e0>,0.0,,#a65628
expon,0.010071385934074537,69.09574468085107,21.023185539535405,(),"(69.09574468085107, 21.023185539535405)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7a1454448a40>,0.0,,#999999
pareto,0.01007138598253607,-1879048122.9042544,1879048191.999999,"(np.float64(89379803.65605539),)","(np.float64(89379803.65605539), np.float64(-1879048122.9042544), 1879048191.999999)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7a1454548290>,0.0,,#999999
