name,score,loc,scale,arg,params,model,bootstrap_score,bootstrap_pass,color
gamma,0.004660330119839451,33.4765434545417,0.6308355661230786,"(np.float64(40.44383854060841),)","(np.float64(40.44383854060841), np.float64(33.4765434545417), np.float64(0.6308355661230786))",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7a1454549730>,0.0,,#e41a1c
lognorm,0.004674094081712101,19.932615315386442,38.85308935205444,"(np.float64(0.10243362892583253),)","(np.float64(0.10243362892583253), 19.932615315386442, np.float64(38.85308935205444))",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7a145446c2f0>,0.0,,#377eb8
genextreme,0.00480826998850879,57.48568742129147,3.8273513610220844,"(np.float64(0.22784472949824017),)","(np.float64(0.22784472949824017), np.float64(57.48568742129147), np.float64(3.8273513610220844))",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7a14545c6cf0>,0.0,,#4daf4a
norm,0.005433628590996163,58.989955007401605,4.005394935819251,(),"(np.float64(58.989955007401605), np.float64(4.005394935819251))",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7a1454321640>,0.0,,#984ea3
t,0.005433672980023306,58.98997420649917,4.005256208201303,"(np.float64(32161.7930977152),)","(np.float64(32161.7930977152), np.float64(58.98997420649917), np.float64(4.005256208201303))",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7a14542d20c0>,0.0,,#ff7f00
loggamma,0.005475862205394961,-971.5546762355511,144.2281509607139,"(np.float64(1268.4225951677959),)","(np.float64(1268.4225951677959), np.float64(-971.5546762355511), np.float64(144.2281509607139))",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7a1454423f80>,0.0,,#ffff33
beta,0.005527088158513858,49.33540857425838,20.749693464181757,"(np.float64(2.575539842998224), np.float64(2.947366326492332))","(np.float64(2.575539842998224), np.float64(2.947366326492332), np.float64(49.33540857425838), np.float64(20.749693464181757))",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7a14542a08f0>,0.0,,#a65628
uniform,0.009643598231802882,50.644329896907216,17.182171533026057,(),"(50.644329896907216, 17.182171533026057)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7a1454321820>,0.0,,#a65628
expon,0.016417158221842497,50.644329896907216,8.345625110494389,(),"(50.644329896907216, 8.345625110494389)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7a1454505e80>,0.0,,#999999
pareto,0.01641715834643002,-4294967245.35567,4294967295.9999995,"(np.float64(514636984.7512649),)","(np.float64(514636984.7512649), np.float64(-4294967245.35567), np.float64(4294967295.9999995))",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7a1454423d40>,0.0,,#999999
