name,score,loc,scale,arg,params,model,bootstrap_score,bootstrap_pass,color
t,0.00012031589211156263,65.3844788509031,8.546016236161304,"(np.float64(3.8811368363437646),)","(np.float64(3.8811368363437646), np.float64(65.3844788509031), np.float64(8.546016236161304))",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7a14541bda30>,0.0,,#e41a1c
lognorm,0.00021287768101977517,21.13197324365187,44.033802112215675,"(np.float64(0.2531237580841831),)","(np.float64(0.2531237580841831), 21.13197324365187, np.float64(44.033802112215675))",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7a1454372090>,0.0,,#377eb8
gamma,0.0002219412315635916,32.14005045007694,3.950658542981852,"(np.float64(8.727325223583797),)","(np.float64(8.727325223583797), np.float64(32.14005045007694), np.float64(3.950658542981852))",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7a1454320a10>,0.0,,#4daf4a
beta,0.0002294666549367678,33.26706571133885,30612772.479339387,"(np.float64(8.008132620505787), np.float64(7344096.322985613))","(np.float64(8.008132620505787), np.float64(7344096.322985613), np.float64(33.26706571133885), np.float64(30612772.479339387))",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7a14541bef30>,0.0,,#984ea3
genextreme,0.00022947318220378784,61.4513729928523,9.8570332891355,"(np.float64(0.04265324004885666),)","(np.float64(0.04265324004885666), np.float64(61.4513729928523), np.float64(9.8570332891355))",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7a1454581c10>,0.0,,#ff7f00
norm,0.000337706557737049,66.61872857096577,12.081935538235404,(),"(np.float64(66.61872857096577), np.float64(12.081935538235404))",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7a14545345c0>,0.0,,#ffff33
loggamma,0.00037494293622989164,-3518.4793169997,488.7957074774373,"(np.float64(1532.7621782731692),)","(np.float64(1532.7621782731692), np.float64(-3518.4793169997), np.float64(488.7957074774373))",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7a14543208c0>,0.0,,#a65628
expon,0.0021924752894577483,42.84776902887139,23.77095954209438,(),"(42.84776902887139, 23.77095954209438)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7a1454304830>,0.0,,#a65628
pareto,0.0021924753272708803,-1073741781.152231,1073741824.0,"(np.float64(45170319.54563832),)","(np.float64(45170319.54563832), np.float64(-1073741781.152231), 1073741824.0)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7a1454334770>,0.0,,#999999
uniform,0.0022563907318230744,42.84776902887139,73.64374269303644,(),"(42.84776902887139, 73.64374269303644)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7a14541dbd70>,0.0,,#999999
