name,score,loc,scale,arg,params,model,bootstrap_score,bootstrap_pass,color
lognorm,6.178586466625482e-05,-64.47014521136195,145.40308280160033,"(np.float64(0.14773085103330444),)","(np.float64(0.14773085103330444), -64.47014521136195, np.float64(145.40308280160033))",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7a145427ade0>,0.0,,#e41a1c
gamma,6.426516324943469e-05,-21.043960761652727,4.5919500111469995,"(np.float64(22.555201282557874),)","(np.float64(22.555201282557874), np.float64(-21.043960761652727), np.float64(4.5919500111469995))",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7a14544215b0>,0.0,,#377eb8
genextreme,6.428485304293997e-05,73.85797424318793,20.118068112189313,"(np.float64(0.1724768475432893),)","(np.float64(0.1724768475432893), np.float64(73.85797424318793), np.float64(20.118068112189313))",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7a145454a330>,0.0,,#4daf4a
beta,6.492803563454508e-05,-16.513884005888226,1978.968717262559,"(np.float64(19.550949070268857), np.float64(371.0035452193714))","(np.float64(19.550949070268857), np.float64(371.0035452193714), np.float64(-16.513884005888226), np.float64(1978.968717262559))",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7a1454222e70>,0.0,,#984ea3
t,9.892772487508877e-05,82.52401150125206,21.82826767180181,"(np.float64(129249.68327475604),)","(np.float64(129249.68327475604), np.float64(82.52401150125206), np.float64(21.82826767180181))",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7a1454092c60>,0.0,,#ff7f00
norm,9.897551884045027e-05,82.52839504417503,21.829344411473084,(),"(np.float64(82.52839504417503), np.float64(21.829344411473084))",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7a14540ade80>,0.0,,#ffff33
loggamma,0.00010186939615227374,-5414.559652115848,771.5418317719118,"(np.float64(1242.8138026323375),)","(np.float64(1242.8138026323375), np.float64(-5414.559652115848), np.float64(771.5418317719118))",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7a14542588c0>,0.0,,#a65628
uniform,0.00041872583081226924,31.845597104945718,103.74046414109444,(),"(31.845597104945718, 103.74046414109444)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7a1454093d70>,0.0,,#a65628
pareto,0.000722978917363755,-4294967264.154401,4294967295.9999976,"(np.float64(84742111.99556832),)","(np.float64(84742111.99556832), np.float64(-4294967264.154401), np.float64(4294967295.9999976))",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7a1453b30f20>,0.0,,#999999
expon,0.0007229789176881015,31.845597104945718,50.68279793922931,(),"(31.845597104945718, 50.68279793922931)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7a14542592b0>,0.0,,#999999
