name,score,loc,scale,arg,params,model,bootstrap_score,bootstrap_pass,color
beta,2.434888054560047e-05,13.301644881062593,76.9293581326408,"(np.float64(1.21769817447958), np.float64(3.5508370426865703))","(np.float64(1.21769817447958), np.float64(3.5508370426865703), np.float64(13.301644881062593), np.float64(76.9293581326408))",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7a1454163dd0>,0.0,,#e41a1c
gamma,3.341897761394963e-05,13.037216499480497,11.707189693295149,"(np.float64(1.692340797509848),)","(np.float64(1.692340797509848), np.float64(13.037216499480497), np.float64(11.707189693295149))",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7a14540c21e0>,0.0,,#377eb8
lognorm,7.024189746679547e-05,10.025914463430162,18.506020556202103,"(np.float64(0.6715468983045335),)","(np.float64(0.6715468983045335), 10.025914463430162, np.float64(18.506020556202103))",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7a1454163440>,0.0,,#4daf4a
genextreme,0.00012261415834435786,25.137251105303182,9.548463106012516,"(np.float64(-0.21970738618156319),)","(np.float64(-0.21970738618156319), np.float64(25.137251105303182), np.float64(9.548463106012516))",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7a14540e5e80>,0.0,,#984ea3
expon,0.00015684939170612408,13.379164463246958,19.47062067311476,(),"(13.379164463246958, 19.47062067311476)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7a14541f6090>,0.0,,#ff7f00
pareto,0.00015684939187556686,-2147483634.6208355,2147483648.0,"(np.float64(110293539.30445065),)","(np.float64(110293539.30445065), np.float64(-2147483634.6208355), 2147483648.0)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7a14540aecf0>,0.0,,#ffff33
loggamma,0.000455887729094035,-4179.556303494246,574.0984177086316,"(np.float64(1536.9276203643058),)","(np.float64(1536.9276203643058), np.float64(-4179.556303494246), np.float64(574.0984177086316))",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7a1496291550>,0.0,,#a65628
norm,0.0004637540651260031,32.84978513636172,14.315131522817195,(),"(np.float64(32.84978513636172), np.float64(14.315131522817195))",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7a14540e7c50>,0.0,,#a65628
t,0.0004638513514799878,32.85097965038899,14.31483751320874,"(np.float64(940660.2643917697),)","(np.float64(940660.2643917697), np.float64(32.85097965038899), np.float64(14.31483751320874))",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7a14541624e0>,0.0,,#999999
uniform,0.0009635161453943725,13.379164463246958,63.146657132997184,(),"(13.379164463246958, 63.146657132997184)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7a14540c2e10>,0.0,,#999999
